text,account_age_days,text_length_words,has_exclamation,has_question,has_emoji,mentions_flag,hashtags_count,urls_count,retweets,favorites,is_verified,followers_count,friends_count,favorites_statuses_ratio,tweet_event,tweet_type,classification,diffusion_speed,sentiment,users_pos_count,users_neg_count,users_neu_count
"Breaking: At least 10 dead, 5 injured after tO gunman open fire in offices of Charlie  Hebdo,satirical mag that published Mohammed cartoons",1191,22,0,0,0,0,0,0,159,14,0,1628,246,0.0026288117770767614,0,source-tweets,1,6861.0,0,3,1,5
"France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58",2120,17,0,0,0,0,1,0,486,38,1,129573,337,0.012695856815507525,0,source-tweets,1,38191.0,0,1,3,3
"Ten killed in shooting at headquarters of French satirical weekly Charlie Hebdo, says French media citing witnesses #c4news",2444,18,0,0,0,0,1,0,127,15,1,529882,3051,0.0012296987238126658,0,source-tweets,1,5057.0,1,2,2,1
BREAKING: 10 dead in shooting at headquarters of French satirical weekly #CharlieHebdo - French media citing witnesses. #France,2139,18,0,0,0,0,2,0,105,15,1,499741,31,0.00015925627320413668,0,source-tweets,1,5837.0,1,2,6,5
Reuters: 10 people shot dead at headquarters of French satirical weekly publication Charlie Hebdo in #Paris after gunmen stormed the office,1889,21,0,0,0,0,1,0,412,32,1,1377384,6,0.0,0,source-tweets,1,8045.0,1,4,5,7
"10 people have died in a shooting at the Paris HQ of French weekly Charlie Hebdo, reports say. http://t.co/xcK8lY9IeR http://t.co/vsoysCGAbx",2728,20,0,0,0,0,0,1,510,48,1,1787519,17,1.634641318828616e-05,0,source-tweets,1,10175.0,1,3,7,14
"French radio @Europe1 says attackers on offices of Paris weekly ran out yelling ""Allahu Akbar"" #Charliehebdo",2773,16,0,0,0,1,1,0,143,21,0,2835,2113,0.0321159845843274,0,source-tweets,1,12294.0,1,2,1,7
BREAKING: 10 reportedly shot dead at Paris HQ of French weekly Charlie Hebdo http://t.co/5F1DOwzoCQ,2264,14,0,0,0,0,0,1,128,5,1,972167,1763,0.00031476997578692496,0,source-tweets,1,643.0,1,1,1,1
BREAKING NEWS: Ten dead in shooting at headquarters of French satirical weekly Charlie Hebdo - French media @Reuters @akhbar,1686,19,0,0,0,1,0,0,119,22,1,85229,565,0.005716027741787973,0,source-tweets,1,10504.0,1,1,1,8
Witness says multiple gunmen involved in shooting at Paris HQ of French satirical magazine Charlie Hebdo - @AP http://t.co/ZFJYh80uxy,2795,19,0,0,0,1,0,1,179,31,1,7193949,508,0.00021351673296923112,0,source-tweets,1,841.0,1,0,0,2
BREAKING: 10 people shot dead at headquarters of French satirical weekly publication Charlie Hebdo in #Paris after gunmen stormed office.,2155,20,0,0,0,0,1,0,114,7,0,18278,7082,0.11276927069815729,0,source-tweets,1,7623.0,1,1,1,2
BREAKING: Paris: 10 dead in attack on satirical paper that poked fun at Mohammed http://t.co/4qqVIjLP8A #CharlieHebdo http://t.co/kqQecEWknq,1220,17,0,0,0,0,1,1,254,48,0,20573,371,0.015077752044240677,0,source-tweets,1,10522.0,1,2,1,11
